dcc/dcc24,September 2001,Number 1,Structure Theorems for Group Ring Codes with an Application to Self-Dual Codes.,Garry Hughes;,None
dcc/dcc24,September 2001,Number 1,Trellis Structure and Higher Weights of Extremal Self-Dual Codes.,Houshou Chen;John T. Coffey;,None
dcc/dcc24,September 2001,Number 1,On the Internal Nuclei of Sets in is Odd.,István Kovács;,None
dcc/dcc24,September 2001,Number 1,Maximal Weight Divisors of Projective Reed-Muller Codes.,Chris Boner;,None
dcc/dcc24,September 2001,Number 1,On the Composition of Matroids and Ideal Secret Sharing Schemes.,Siaw-Lynn Ng;Michael Walker;,None
dcc/dcc24,September 2001,Number 1,"Generalized Steiner Systems GS(2, 4, v, 2) with a Prime Power equiv 7 (mod 12).",D. Wu;L. Zhu;,None
dcc/dcc24,September 2001,Number 1,True Dimension of Some Binary Quadratic Trace Goppa Codes.,Pascal Véron;,None
dcc/dcc24,September 2001,Number 1,The Invariants of the Clifford Groups.,Gabriele Nebe;Eric M. Rains;Neil J. A. Sloane;,None
dcc/dcc24,October 2001,Number 2,Minimal Blocking Sets in Projective Spaces of Square Order.,Martin Bokler;,None
dcc/dcc24,October 2001,Number 2,Successive Minimization of the State Complexity of the Self-dual Lattices Using Korkin-Zolotarev Reduced Basis.,Amir K. Khandani;Morteza Esmaeili;,None
dcc/dcc24,October 2001,Number 2,On the Existence and Construction of Tight Fourth Order Quadrature Rules for the Sphere.,Sönke Blunck;,None
dcc/dcc24,October 2001,Number 2,Cocyclic Codes of Length 40.,A. Baliga;,None
dcc/dcc24,October 2001,Number 2,"The Weight Distribution of C5(1, n).",Kwok-Yan Lam;Francesco Sica;,None
dcc/dcc24,October 2001,Number 2,On Codes Identifying Sets of Vertices in Hamming Spaces.,Iiro S. Honkala;Tero Laihonen;Sanna M. Ranto;,None
dcc/dcc24,October 2001,Number 2,"On (q2+q+2, q+2)-arcs in the Projective Plane PG(2, q).",Simeon Ball;Ray Hill;Ivan N. Landjev;Harold N. Ward;,None
dcc/dcc24,October 2001,Number 2,The Existence of a Bush-Type Hadamard Matrix of Order 324 and Two New Infinite Classes of Symmetric Designs.,Zvonimir Janko;Hadi Kharaghani;Vladimir D. Tonchev;,None
dcc/dcc24,October 2001,Number 2,Curves in Projective Spaces and Almost MDS Codes.,Edoardo Ballico;Antonio Cossidente;,None
dcc/dcc24,December 2001,Number 3,Bijections Between Group Rings Preserving Character Sums.,Mariko Hagita;Bernhard Schmidt;,None
dcc/dcc24,December 2001,Number 3,Improved Schemes for Visual Cryptography.,Carlo Blundo;Annalisa De Bonis;Alfredo De Santis;,None
dcc/dcc24,December 2001,Number 3,On the Linear Complexity of the Naor-Reingold Pseudo-random Function from Elliptic Curves.,Igor E. Shparlinski;Joseph H. Silverman;,None
dcc/dcc24,December 2001,Number 3,Difference Families.,Clement W. H. Lam;Ying Miao;,None
dcc/dcc24,December 2001,Number 3,An Upper Bound on the Number of Iterations for Transforming a Boolean Function of Degree Greater or Equal Than 4 to a Function of Degree 3.,Horacio Tapia-Recillas;Gerardo Vega;,None
dcc/dcc24,December 2001,Number 3,The Structure of 1-Generator Quasi-Twisted Codes and New Linear Codes.,Nuh Aydin;Irfan Siap;Dwijendra K. Ray-Chaudhuri;,None
dcc/dcc24,December 2001,Number 3,Verifiable Partial Escrow of Integer Factors.,Wenbo Mao;,None
dcc/dcc24,December 2001,Number 3,Trace Representation of Legendre Sequences.,Jeong-Heon Kim;Hong-Yeop Song;,None
