dcc/dcc57,October 2010,Number 1,A tight asymptotic bound on the size of constant-weight conflict-avoiding codes.,Kenneth W. Shum;Wing Shing Wong;,https://doi.org/10.1007/s10623-009-9345-4
dcc/dcc57,October 2010,Number 1,On incidence structures of nonsingular points and hyperbolic lines of ovoids in finite orthogonal spaces.,John Fuelberth;Athula Gunawardena;C. David Shaffer;,https://doi.org/10.1007/s10623-009-9346-3
dcc/dcc57,October 2010,Number 1,On quadratic APN functions and dimensional dual hyperovals.,Yves Edel;,https://doi.org/10.1007/s10623-009-9347-2
dcc/dcc57,October 2010,Number 1,On uniformly resolvable designs with block sizes 3 and 4.,Ernst Schuster;Gennian Ge;,https://doi.org/10.1007/s10623-009-9348-1
dcc/dcc57,October 2010,Number 1,Codes with girth 8 Tanner graph representation.,Amin Sakzad;Mohammad-Reza Sadeghi;Daniel Panario;,https://doi.org/10.1007/s10623-009-9349-0
dcc/dcc57,October 2010,Number 1,A note on the reducibility of binary affine polynomials.,Zhengjun Zhao;Xiwang Cao;,https://doi.org/10.1007/s10623-009-9350-7
dcc/dcc57,October 2010,Number 1,Designs associated with maximum independent sets of a graph.,Hanumappa B. Walikar;B. Devadas Acharya;Shailaja S. Shirkol;,https://doi.org/10.1007/s10623-009-9351-6
dcc/dcc57,October 2010,Number 1,AG codes from vector bundles.,Tohru Nakashima;,https://doi.org/10.1007/s10623-009-9354-3
dcc/dcc57,November 2010,Number 2,Alternating groups and flag-transitive triplanes.,Shenglin Zhou;Huili Dong;,https://doi.org/10.1007/s10623-009-9355-2
dcc/dcc57,November 2010,Number 2,Weight distribution moments of random linear/coset codes.,Vladimir M. Blinovsky;Uri Erez;Simon Litsyn;,https://doi.org/10.1007/s10623-009-9356-1
dcc/dcc57,November 2010,Number 2,Anonymity in shared symmetric key primitives.,Gregory M. Zaverucha;Douglas R. Stinson;,https://doi.org/10.1007/s10623-009-9357-0
dcc/dcc57,November 2010,Number 2,On the minimum distance graph of an extended Preparata code.,Cristina Fernández-Córdoba;Kevin T. Phelps;,https://doi.org/10.1007/s10623-009-9358-z
dcc/dcc57,November 2010,Number 2,New bounds for codes over finite Frobenius rings.,Eimear Byrne;Marcus Greferath;Axel Kohnert;Vitaly Skachek;,https://doi.org/10.1007/s10623-009-9359-y
dcc/dcc57,November 2010,Number 2,On the binary codes with parameters of doubly-shortened 1-perfect codes.,Denis S. Krotov;,https://doi.org/10.1007/s10623-009-9360-5
dcc/dcc57,November 2010,Number 2,Minimum distance of Hermitian two-point codes.,Seungkook Park;,https://doi.org/10.1007/s10623-009-9361-4
dcc/dcc57,November 2010,Number 2,Optimal and perfect difference systems of sets from q-ary sequences with difference-balanced property.,Zhengchun Zhou;Xiaohu Tang;,https://doi.org/10.1007/s10623-009-9362-3
dcc/dcc57,December 2010,Number 3,"H-designs with the properties of resolvability or (1, 2)-resolvability.",Xiande Zhang;Gennian Ge;,https://doi.org/10.1007/s10623-009-9363-2
dcc/dcc57,December 2010,Number 3,Some results concerning cryptographically significant mappings over GF(2n).,Enes Pasalic;Pascale Charpin;,https://doi.org/10.1007/s10623-010-9365-0
dcc/dcc57,December 2010,Number 3,On extended algebraic immunity.,Chun-peng Wang;Xiao-song Chen;,https://doi.org/10.1007/s10623-010-9366-z
dcc/dcc57,December 2010,Number 3,On the security of the Feng-Liao-Yang Boolean functions with optimal algebraic immunity against fast algebraic attacks.,Panagiotis Rizomiliotis;,https://doi.org/10.1007/s10623-010-9367-y
dcc/dcc57,December 2010,Number 3,The cost of false alarms in Hellman and rainbow tradeoffs.,Jin Hong;,https://doi.org/10.1007/s10623-010-9368-x
dcc/dcc57,December 2010,Number 3,Self-dual codes with automorphism of order 3 having 8 cycles.,Hyun Jin Kim;,https://doi.org/10.1007/s10623-010-9370-3
dcc/dcc57,December 2010,Number 3,On the intersection of a Hermitian curve with a conic.,Giorgio Donati;Nicola Durante;,https://doi.org/10.1007/s10623-010-9371-2
dcc/dcc57,December 2010,Number 3,Permutations of finite fields for check digit systems.,Rasha Shaheen;Arne Winterhof;,https://doi.org/10.1007/s10623-010-9374-z
dcc/dcc57,December 2010,Number 3,Geometric and design-theoretic aspects of semibent functions I.,Ulrich Dempwolff;Timo Neumann;,https://doi.org/10.1007/s10623-010-9375-y
dcc/dcc57,December 2010,Number 3,Existence of directed BIBDs with block size 7 and related perfect 5-deletion-correcting codes of length 7.,R. Julian R. Abel;Frank E. Bennett;,https://doi.org/10.1007/s10623-010-9376-x
