dcc/dcc25,January 2002,Number 1,On the Automorphisms of Order 2 with Fixed Points for the Extremal Self-Dual Codes of Length 24m.,Stefka Bouyuklieva;,None
dcc/dcc25,January 2002,Number 1,Threshold Visual Cryptography Schemes with Specified Whiteness Levels of Reconstructed Pixels.,Philip A. Eisen;Douglas R. Stinson;,None
dcc/dcc25,January 2002,Number 1,Polynomial Interpolation of the Discrete Logarithm.,Arne Winterhof;,None
dcc/dcc25,January 2002,Number 1,Symmetric Designs Attached to Four-Weight Spin Models.,Etsuko Bannai;Mitsuhiro Sawano;,None
dcc/dcc25,January 2002,Number 1,"A Correction to ""Incidence Matrices and Collineations of Finite Projective Planes"" by Chat Yin Ho, Designs, Codes and Cryptography, 18 (1999).",D. Brozovic;Chat Yin Ho;Akihiro Munemasa;,None
dcc/dcc25,January 2002,Number 1,Lower Bounds on the State Complexity of Geometric Goppa Codes.,Tim Blackmore;Graham H. Norton;,None
dcc/dcc25,February 2002,Number 2,On Circulant Complex Hadamard Matrices.,K. T. Arasu;Warwick de Launey;Siu Lun Ma;,None
dcc/dcc25,February 2002,Number 2,"Minihypers and Linear Codes Meeting the Griesmer Bound: Improvements to Results of Hamada, Helleseth and Maekawa.",Sandy Ferret;Leo Storme;,None
dcc/dcc25,February 2002,Number 2,Orthogonal Designs and Type II Codes over Z2k.,Stelios Georgiou;Masaaki Harada;Christos Koukouvinos;,None
dcc/dcc25,February 2002,Number 2,Secret Sharing Schemes with Detection of Cheaters for a General Access Structure.,Sergio Cabello;Carles Padró;Germán Sáez;,None
dcc/dcc25,February 2002,Number 2,The Theory of Cyclic Codes and a Generalization to Additive Codes.,Jürgen Bierbrauer;,None
dcc/dcc25,February 2002,Number 2,Itoh-Tsujii Inversion in Standard Basis and Its Application in Cryptography and Codes.,Jorge Guajardo;Christof Paar;,None
dcc/dcc25,March 2002,Number 3,A Signature Scheme Based on the Intractability of Computing Roots.,Ingrid Biehl;Johannes A. Buchmann;Safuat Hamdy;Andreas Meyer;,None
dcc/dcc25,March 2002,Number 3,On Complete Arcs Arising from Plane Curves.,Massimo Giulietti;Fernanda Pambianco;Fernando Torres;Emanuela Ughi;,None
dcc/dcc25,March 2002,Number 3,A Theorem Concerning Nets Arising from Generalized Quadrangles with a Regular Point.,Koen Thas;,None
dcc/dcc25,March 2002,Number 3,Ring-Valued Assignments to the Points of a t-Design.,Luis Martínez;Antonio Vera-López;,None
dcc/dcc25,March 2002,Number 3,Covering Sequences of Boolean Functions and Their Cryptographic Significance.,Claude Carlet;Yuriy Tarannikov;,None
dcc/dcc25,March 2002,Number 3,Linear Key Predistribution Schemes.,Carles Padró;Ignacio Gracia;Sebastià Martín Molleví;Paz Morillo;,None
dcc/dcc25,March 2002,Number 3,Constructions of Nested Partial Difference Sets with Galois Rings.,John B. Polhill;,None
dcc/dcc25,March 2002,Number 3,Hermitian Veronesean Schemes.,Edoardo Ballico;Antonio Cossidente;,None
