dcc/dcc26,June-July-August 2002,Number 1-3,Preface: In Honour of Ronald C. Mullin.,Charles J. Colbourn;Douglas R. Stinson;G. H. John van Rees;,None
dcc/dcc26,June-July-August 2002,Number 1-3,The Existence of Four HMOLS with Equal Sized Holes.,R. Julian R. Abel;Frank E. Bennett;Gennian Ge;,None
dcc/dcc26,June-July-August 2002,Number 1-3,"Balanced Incomplete Block Designs with Block Size 9 and lambda=2, 4, 8.",R. Julian R. Abel;Iliya Bluskov;Malcolm Greig;,None
dcc/dcc26,June-July-August 2002,Number 1-3,An Enumeration of Binary Self-Dual Codes of Length 32.,R. T. Bilous;G. H. John van Rees;,None
dcc/dcc26,June-July-August 2002,Number 1-3,On the Security of the Digital Signature Algorithm.,Ian F. Blake;Theodoulos Garefalakis;,None
dcc/dcc26,June-July-August 2002,Number 1-3,Constructions and Bounds for Unconditionally Secure Non-Interactive Commitment Schemes.,Carlo Blundo;Barbara Masucci;Douglas R. Stinson;Ruizhong Wei;,None
dcc/dcc26,June-July-August 2002,Number 1-3,Cyclic Designs with Block Size 4 and Related Optimal Optical Orthogonal Codes.,Marco Buratti;,None
dcc/dcc26,June-July-August 2002,Number 1-3,"Kirkman Packing Designs KPD ({3, 5*}, v).",H. Cao;L. Zhu;,None
dcc/dcc26,June-July-August 2002,Number 1-3,"Homogeneous Bent Functions, Invariants, and Designs.",Chris Charnes;Martin Rötteler;Thomas Beth;,None
dcc/dcc26,June-July-August 2002,Number 1-3,General Constructions for Double Group Divisible Designs and Double Frames.,Yanxun Chang;Ying Miao;,None
dcc/dcc26,June-July-August 2002,Number 1-3,"The Existence of Kirkman Squares-Doubly Resolvable (v, 3, 1)-BIBDs.",Charles J. Colbourn;Esther R. Lamken;Alan C. H. Ling;W. H. Mills;,None
dcc/dcc26,June-July-August 2002,Number 1-3,Subcodes of the Projective Generalized Reed-Muller Codes Spanned by Minimum-Weight Vectors.,Peng Ding;Jennifer D. Key;,None
dcc/dcc26,June-July-August 2002,Number 1-3,Arcs and Ovals from Abelian Groups.,Marialuisa J. de Resmini;Dina Ghinelli;Dieter Jungnickel;,None
dcc/dcc26,June-July-August 2002,Number 1-3,A Rigorous Proof of the Waterloo Algorithm for the Discrete Logarithm Problem.,Michael Drmota;Daniel Panario;,None
dcc/dcc26,June-July-August 2002,Number 1-3,On Large Sets of v-1 L-Intersecting Steiner Triple Systems of Order v.,Frantisek Franek;Mike J. Grannell;Terry S. Griggs;Alexander Rosa;,None
dcc/dcc26,June-July-August 2002,Number 1-3,"A Note on Geometric Structures of Linear Ordered Orthogonal Arrays and (T, M, S)-Nets of Low Strength.",Ryoh Fuji-Hara;Ying Miao;,None
