dcc/dcc23,May 2001,Number 1,On the Linear Complexity of the Power Generator.,Igor E. Shparlinski;,None
dcc/dcc23,May 2001,Number 1,Binary Optimal Odd Formally Self-Dual Codes.,Koichi Betsumiya;Masaaki Harada;,None
dcc/dcc23,May 2001,Number 1,Upper and Lower Bounds on Maximum Nonlinearity of n-input m-output Boolean Function.,Tadashi Wadayama;Toru Hada;Koichiro Wakasugi;Masao Kasahara;,None
dcc/dcc23,May 2001,Number 1,Some Triple Block Intersection Numbers of Paley 2-Designs of QN-type.,Blessilda P. Raposa;,None
dcc/dcc23,May 2001,Number 1,"The Extended Euclidian Algorithm on Polynomials, and the Computational Efficiency of Hyperelliptic Cryptosystems.",Andreas Enge;,None
dcc/dcc23,May 2001,Number 1,A Note on Certain 2-Groups with Hadamard Difference Sets.,Joel E. Iiams;,None
dcc/dcc23,May 2001,Number 1,All qm-ary Cyclic Codes with Cyclic q-ary Image Are Known.,Christophe Mouaha;Gerhard Schiffels;,None
dcc/dcc23,May 2001,Number 1,A Combinatorial Construction for Perfect Deletion-Correcting Codes.,Jianxing Yin;,None
dcc/dcc23,July 2001,Number 2,Bounds for the Multicovering Radii of Reed-Muller Codes with Applications to Stream Ciphers.,Iiro S. Honkala;Andrew Klapper;,None
dcc/dcc23,July 2001,Number 2,On Some Properties of the Shrinking Generator.,Igor E. Shparlinski;,None
dcc/dcc23,July 2001,Number 2,A New Family of Ternary Sequences with Ideal Two-level Autocorrelation Function.,Tor Helleseth;P. Vijay Kumar;Halvard Martinsen;,None
dcc/dcc23,July 2001,Number 2,Optimal Ternary Linear Rate 1/2 Codes.,T. Aaron Gulliver;Nikolai Senkevitch;,None
dcc/dcc23,July 2001,Number 2,On String Replacement Exponentiation.,Luke O'Connor;,None
dcc/dcc23,July 2001,Number 2,Hyperplane Sections of Kantor's Unitary Ovoids.,Bruce N. Cooperstein;,None
dcc/dcc23,July 2001,Number 2,Large Caps in Small Spaces.,Yves Edel;Jürgen Bierbrauer;,None
dcc/dcc23,July 2001,Number 2,On Certain Schur Rings of Dimension 4.,Kenzi Akiyama;,None
dcc/dcc23,July 2001,Number 2,On the Distance Distributions of BCH Codes and Their Duals.,Ilia Krasikov;Simon Litsyn;,None
dcc/dcc23,July 2001,Number 2,Perfect Cayley Designs as Generalizations of Perfect Mendelsohn Designs.,Marco Buratti;Fulvio Zuanni;,None
dcc/dcc23,July 2001,Number 2,Characterizations of Translation Generalized Quadrangles.,Joseph A. Thas;,None
dcc/dcc23,August 2001,Number 3,"Values of Minors of (1, -1) Incidence Matrices of SBIBDs and Their Application to the Growth Problem.",Christos Koukouvinos;Marilena Mitrouli;Jennifer Seberry;,None
dcc/dcc23,August 2001,Number 3,Lattice Attacks on Digital Signature Schemes.,Nick Howgrave-Graham;Nigel P. Smart;,None
dcc/dcc23,August 2001,Number 3,A Proof of the Jungnickel-Tonchev Conjecture on Quasi-Multiple Quasi-Symmetric Designs.,Sharad S. Sane;,None
dcc/dcc23,August 2001,Number 3,How to Choose Secret Parameters for RSA-Type Cryptosystems over Elliptic Curves.,Marc Joye;Jean-Jacques Quisquater;Tsuyoshi Takagi;,None
dcc/dcc23,August 2001,Number 3,A Difference Set in.,K. T. Arasu;Yu Qing Chen;,None
dcc/dcc23,August 2001,Number 3,Classification of Formally Self-Dual Even Codes of Lengths up to 16.,Koichi Betsumiya;Masaaki Harada;,None
dcc/dcc23,August 2001,Number 3,Error-Correcting Codes over an Alphabet of Four Elements.,Galina T. Bogdanova;Andries E. Brouwer;Stoyan N. Kapralov;Patric R. J. Östergård;,None
dcc/dcc23,August 2001,Number 3,Affine Invariant and Cyclic Codes over -adic Numbers and Finite Rings.,Kanat S. Abdukhalikov;,None
