dcc/dcc21,October 2000,Number 1/3,Preface.,Aart Blokhuis;Willem H. Haemers;,None
dcc/dcc21,October 2000,Number 1/3,Jaap Seidel 80.,N. G. de Bruijn;,None
dcc/dcc21,October 2000,Number 1/3,Spherical Designs and Generalized Sum-Free Sets in Abelian Groups.,Béla Bajnok;,None
dcc/dcc21,October 2000,Number 1/3,Perfect Baer Subplane Partitions and Three-Dimensional Flag-Transitive Planes.,R. D. Baker;Jeremy M. Dover;Gary L. Ebert;Kenneth L. Wantz;,None
dcc/dcc21,October 2000,Number 1/3,The Newton Polygon of Plane Curves with Many Rational Points.,Peter Beelen;Ruud Pellikaan;,None
dcc/dcc21,October 2000,Number 1/3,Locally Paley Graphs.,Andries E. Brouwer;,None
dcc/dcc21,October 2000,Number 1/3,The Search for Pseudo Orthogonal Latin Squares of Order Six.,Frans C. Bussemaker;Willem H. Haemers;Edward Spence;,None
dcc/dcc21,October 2000,Number 1/3,A Characterization of Association Schemes from Affine Spaces.,Edwin R. van Dam;,None
dcc/dcc21,October 2000,Number 1/3,"Two-Weight Codes, Partial Geometries and Steiner Systems.",Frank De Clerck;Mario Delanote;,None
dcc/dcc21,October 2000,Number 1/3,Epimorphisms of Generalized Polygons Part 1: Geometrical Characterizations.,Ralf Gramlich;Hendrik Van Maldeghem;,None
dcc/dcc21,October 2000,Number 1/3,Strongly Regular Graphs and Designs with Three Intersection Numbers.,Yury J. Ionin;Mohan S. Shrikhande;,None
dcc/dcc21,October 2000,Number 1/3,A Local Approach to 1-Homogeneous Graphs.,Aleksandar Jurisic;Jack H. Koolen;,None
dcc/dcc21,October 2000,Number 1/3,Equilateral Dimension of the Rectilinear Space.,Jack H. Koolen;Monique Laurent;Alexander Schrijver;,None
dcc/dcc21,October 2000,Number 1/3,Optimal Subcodes of Second Order Reed-Muller Codes and Maximal Linear Spaces of Bivectors of Maximal Rank.,Johannes G. Maks;Juriaan Simonis;,None
dcc/dcc21,October 2000,Number 1/3,Minimum Distance Bounds for -Regular Codes.,William J. Martin;,None
dcc/dcc21,October 2000,Number 1/3,On Isomorphisms between Coxeter Groups.,Bernhard Mühlherr;,None
dcc/dcc21,October 2000,Number 1/3,Constructions for Octonion and Exceptional Jordan Algebras.,L. J. Rylands;Donald E. Taylor;,None
dcc/dcc21,October 2000,Number 1/3,Large Families of Cospectral Graphs.,Ákos Seress;,None
dcc/dcc21,October 2000,Number 1/3,"Subsets of PG(n, 2) and Maximal Partial Spreads in PG(4, 2).",Ronald Shaw;,None
dcc/dcc21,October 2000,Number 1/3,New Linear Codes Over and and Improvements on Bounds.,Irfan Siap;Dwijendra K. Ray-Chaudhuri;,None
dcc/dcc21,October 2000,Number 1/3,"On 1-Blocking Sets in PG(n, q), n >= 3.",Leo Storme;Zsuzsa Weiner;,None
