dcc/dcc75,April 2015,Number 1,"Comment on ""Identity-based non-interactive key distribution with forward security"".",Xi Jun Lin;Ran Ren;Zhengang Wei;Lin Sun;,https://doi.org/10.1007/s10623-013-9886-4
dcc/dcc75,April 2015,Number 1,"On point-transitive and transitive deficiency one parallelisms of PG (3, 4).",Svetlana Topalova;Stela Zhelezova;,https://doi.org/10.1007/s10623-013-9887-3
dcc/dcc75,April 2015,Number 1,"Xing-Ling codes, duals of their subcodes, and good asymmetric quantum codes.",Martianus Frederic Ezerman;Somphong Jitman;Patrick Solé;,https://doi.org/10.1007/s10623-013-9885-5
dcc/dcc75,April 2015,Number 1,Two families of nearly optimal codebooks.,Chengju Li;Qin Yue;Yiwei Huang;,https://doi.org/10.1007/s10623-013-9891-7
dcc/dcc75,April 2015,Number 1,Hardness of learning problems over Burnside groups of exponent 3.,Nelly Fazio;Kevin Iga;Antonio Nicolosi;Ludovic Perret;William E. Skeith III;,https://doi.org/10.1007/s10623-013-9892-6
dcc/dcc75,April 2015,Number 1,Planar functions and perfect nonlinear monomials over finite fields.,Michael E. Zieve;,https://doi.org/10.1007/s10623-013-9890-8
dcc/dcc75,April 2015,Number 1,Perfect codes in the discrete simplex.,Mladen Kovacevic;Dejan Vukobratovic;,https://doi.org/10.1007/s10623-013-9893-5
dcc/dcc75,April 2015,Number 1,Demi-matroids from codes over finite Frobenius rings.,Thomas Britz;Keisuke Shiromoto;Thomas Westerbäck;,https://doi.org/10.1007/s10623-013-9895-3
dcc/dcc75,April 2015,Number 1,Optimal three-dimensional optical orthogonal codes of weight three.,Kenneth W. Shum;,https://doi.org/10.1007/s10623-013-9894-4
dcc/dcc75,April 2015,Number 1,On relative constant-weight codes.,Zihui Liu;Xin-Wen Wu;,https://doi.org/10.1007/s10623-013-9896-2
dcc/dcc75,April 2015,Number 1,Sequences of irreducible polynomials without prescribed coefficients over odd prime fields.,S. Ugolini;,https://doi.org/10.1007/s10623-013-9897-1
dcc/dcc75,April 2015,Number 1,New lower bounds on the aperiodic Hamming correlations of frequency hopping sequences with low hit zone.,Hongyu Han;Daiyuan Peng;Xing Liu;,https://doi.org/10.1007/s10623-013-9900-x
dcc/dcc75,April 2015,Number 1,Speeding up deciphering by hypergraph ordering.,Peter Horák;Zsolt Tuza;,https://doi.org/10.1007/s10623-013-9899-z
