dcc/dcc13,January 1998,Number 1,Balanced Incomplete Block Designs with Block Size 7.,R. Julian R. Abel;Malcolm Greig;,https://doi.org/10.1023/A:1008204220755
dcc/dcc13,January 1998,Number 1,Linearly Derived Steiner Triple Systems.,E. F. Assmus Jr.;,https://doi.org/10.1023/A:1008289721664
dcc/dcc13,January 1998,Number 1,Caps and Colouring Steiner Triple Systems.,Aiden A. Bruen;Lucien Haddad;David L. Wehlau;,https://doi.org/10.1023/A:1008293805734
dcc/dcc13,January 1998,Number 1,Characterizing the Hermitian and Ree Unitals on 28 Points.,Gary McGuire;Vladimir D. Tonchev;Harold N. Ward;,https://doi.org/10.1023/A:1008246022572
dcc/dcc13,January 1998,Number 1,A Number Theoretic Conjecture and the Existence of S-Cyclic Steiner Quadruple Systems.,Helmut Siemon;,https://doi.org/10.1023/A:1008298006643
dcc/dcc13,February 1998,Number 2,On Orthogonal Double Covers of Graphs.,Darryn E. Bryant;Abdollah Khodkar;,https://doi.org/10.1023/A:1008283627078
dcc/dcc13,February 1998,Number 2,Bounds and Characterizations of Authentication/Secrecy Schemes.,L. R. A. Casse;Keith M. Martin;Peter R. Wild;,https://doi.org/10.1023/A:1008270111149
dcc/dcc13,February 1998,Number 2,New Families of Semi-Regular Relative Difference Sets.,James A. Davis;Jonathan Jedwab;Miranda Mowbray;,https://doi.org/10.1023/A:1008222227987
dcc/dcc13,February 1998,Number 2,Decoding Affine Variety Codes Using Gröbner Bases.,J. Fitzgerald;Robert F. Lax;,https://doi.org/10.1023/A:1008274212057
dcc/dcc13,February 1998,Number 2,A Recursive Construction for 2-Designs.,Kirsten Mackenzie-Fleming;,https://doi.org/10.1023/A:1008226328896
dcc/dcc13,February 1998,Number 2,"The Nonexistence of Ternary [38, 6, 23] Codes.",Noboru Hamada;Marijn van Eupen;,https://doi.org/10.1023/A:1008278312966
dcc/dcc13,February 1998,Number 2,Skew-Hadamard Matrices and the Smith Normal Form.,T. S. Michael;W. D. Wallis;,https://doi.org/10.1023/A:1008230429804
dcc/dcc13,February 1998,Number 2,Equiorthogonal Frequency Hypercubes: Preliminary Theory.,Ilene H. Morgan;,https://doi.org/10.1023/A:1008282513875
dcc/dcc13,February 1998,Number 2,"The Collinearity Graph of the O-(8, 2) Quadric Is Not Geometrisable.",Pratima Panigrahi;,https://doi.org/10.1023/A:1008234630713
dcc/dcc13,February 1998,Number 2,Linear Sections of the Finite Veronese Varieties and Authentication Systems Defined Using Geometry.,Corrado Zanella;,https://doi.org/10.1023/A:1008286614783
dcc/dcc13,March 1998,Number 3,The Covering Radius of Ternary Cyclic Codes with Length up to 25.,Tsonka Stefanova Baicheva;,https://doi.org/10.1023/A:1008215504578
dcc/dcc13,March 1998,Number 3,Analysis of Iterated Modular Exponentiation: The Orbits of xalpha mod N.,J. J. Brennan;Bruce Geist;,https://doi.org/10.1023/A:1008289605486
dcc/dcc13,March 1998,Number 3,A Construction of Difference Sets.,Yu Qing Chen;,https://doi.org/10.1023/A:1008293722325
dcc/dcc13,March 1998,Number 3,Note on Periodic Complementary Sets of Binary Sequences.,Dragomir Z. Dokovic;,https://doi.org/10.1023/A:1008245823233
dcc/dcc13,March 1998,Number 3,Classification of Extremal Double Circulant Self-Dual Codes of Lengths 64 to 72.,T. Aaron Gulliver;Masaaki Harada;,https://doi.org/10.1023/A:1008249924142
dcc/dcc13,March 1998,Number 3,New Extremal Type II Codes over Z4.,Masaaki Harada;,https://doi.org/10.1023/A:1008254008212
dcc/dcc13,March 1998,Number 3,Bounds on Spectra of Codes with Known Dual Distance.,Ilia Krasikov;Simon Litsyn;,https://doi.org/10.1023/A:1008206125050
dcc/dcc13,March 1998,Number 3,Three Systems for Threshold Generation of Authenticators.,Reihaneh Safavi-Naini;,https://doi.org/10.1023/A:1008258110029
dcc/dcc13,March 1998,Number 3,Quasideterminant Characterization of MDS Group Codes over Abelian Groups.,A. A. Zain;B. Sundar Rajan;,https://doi.org/10.1023/A:1008214310938
