dcc/dcc41,October 2006,Number 1,Secret sharing schemes with partial broadcast channels.,Reihaneh Safavi-Naini;Huaxiong Wang;,https://doi.org/10.1007/s10623-006-0027-1
dcc/dcc41,October 2006,Number 1,Constructing codes identifying sets of vertices.,Julien Moncel;,https://doi.org/10.1007/s10623-006-0029-z
dcc/dcc41,October 2006,Number 1,Roux-type constructions for covering arrays of strengths three and four.,Charles J. Colbourn;Sosina Martirosyan;Tran van Trung;Robert A. Walker;,https://doi.org/10.1007/s10623-006-0020-8
dcc/dcc41,October 2006,Number 1,Projective two-weight codes with small parameters and their corresponding graphs.,Iliya Bouyukliev;Veerle Fack;Wolfgang Willems;Joost Winne;,https://doi.org/10.1007/s10623-006-0019-1
dcc/dcc41,October 2006,Number 1,A random construction for permutation codes and the covering radius.,Peter Keevash;Cheng Yeaw Ku;,https://doi.org/10.1007/s10623-006-0017-3
dcc/dcc41,October 2006,Number 1,Pairs of codes with prescribed Hamming distances and coincidences.,Vince Grolmusz;,https://doi.org/10.1007/s10623-006-0016-4
dcc/dcc41,October 2006,Number 1,New constructions of optimal self-dual binary codes of length 54.,Stefka Bouyuklieva;Patric R. J. Östergård;,https://doi.org/10.1007/s10623-006-0018-2
dcc/dcc41,October 2006,Number 1,Circulant weighing matrices of weight 22t.,K. T. Arasu;Ka Hin Leung;Siu Lun Ma;Ali Nabavi;Dwijendra K. Ray-Chaudhuri;,https://doi.org/10.1007/s10623-006-0026-2
dcc/dcc41,November 2006,Number 2,Subregular planes admitting elations.,Vikram Jha;Norman L. Johnson;,https://doi.org/10.1007/s10623-006-9001-1
dcc/dcc41,November 2006,Number 2,Isometric embeddings of Zpk in the Hamming space FpN and Zpk-linear codes.,Marcelo Muniz;,https://doi.org/10.1007/s10623-006-9003-z
dcc/dcc41,November 2006,Number 2,Uncoverings-by-bases for base-transitive permutation groups.,Robert F. Bailey;,https://doi.org/10.1007/s10623-006-9005-x
dcc/dcc41,November 2006,Number 2,Combinatorial characterizations of one-coincidence frequency-hopping sequences.,Zhenfu Cao;Gennian Ge;Ying Miao;,https://doi.org/10.1007/s10623-006-9007-8
dcc/dcc41,November 2006,Number 2,Distance-transitive dihedrants.,Stefko Miklavic;Primoz Potocnik;,https://doi.org/10.1007/s10623-006-9008-7
dcc/dcc41,November 2006,Number 2,New quasi-symmetric designs constructed using mutually orthogonal Latin squares and Hadamard matrices.,Carl Bracken;Gary McGuire;Harold N. Ward;,https://doi.org/10.1007/s10623-006-9009-6
dcc/dcc41,November 2006,Number 2,Evaluation codes and plane valuations.,Carlos Galindo;M. Sanchis;,https://doi.org/10.1007/s10623-006-9011-z
dcc/dcc41,November 2006,Number 2,Explicit constructions of separating hash families from algebraic curves over finite fields.,Lihua Liu;Hao Shen;,https://doi.org/10.1007/s10623-006-9004-y
dcc/dcc41,December 2006,Number 3,Self-dual codes over Z8 and Z9.,Steven T. Dougherty;T. Aaron Gulliver;John N. C. Wong;,https://doi.org/10.1007/s10623-006-9000-2
dcc/dcc41,December 2006,Number 3,A sequence of one-point codes from a tower of function fields.,Takehiro Hasegawa;Shoichi Kondo;Hidekazu Kurusu;,https://doi.org/10.1007/s10623-006-9013-x
dcc/dcc41,December 2006,Number 3,Embeddings of resolvable group divisible designs with block size 3.,Jun Shen;Hao Shen;,https://doi.org/10.1007/s10623-006-9010-0
dcc/dcc41,December 2006,Number 3,"Sparse polynomials, redundant bases, gauss periods, and efficient exponentiation of primitive elements for small characteristic finite fields.",Soonhak Kwon;Chang Hoon Kim;Chun Pyo Hong;,https://doi.org/10.1007/s10623-006-9016-7
dcc/dcc41,December 2006,Number 3,Applications of representation theory to wireless communications.,Ali Miri;Monica Nevins;Terasan Niyomsataya;,https://doi.org/10.1007/s10623-006-9023-8
dcc/dcc41,December 2006,Number 3,New classes of self-complementary codes and quasi-symmetric designs.,Carl Bracken;,https://doi.org/10.1007/s10623-006-9020-y
dcc/dcc41,December 2006,Number 3,On universally decodable matrices for space-time coding.,Pascal O. Vontobel;Ashwin Ganesan;,https://doi.org/10.1007/s10623-006-9019-4
dcc/dcc41,December 2006,Number 3,Some constructions of systematic authentication codes using galois rings.,Ferruh Özbudak;Zülfükar Saygi;,https://doi.org/10.1007/s10623-006-9021-x
