dcc/dcc63,April 2012,Number 1,A low-memory algorithm for finding short product representations in finite groups.,Gaetan Bisson;Andrew V. Sutherland;,https://doi.org/10.1007/s10623-011-9527-8
dcc/dcc63,April 2012,Number 1,On the number of designs with affine parameters.,Diane M. Donovan;Mike J. Grannell;,https://doi.org/10.1007/s10623-011-9528-7
dcc/dcc63,April 2012,Number 1,"A group ring construction of the [48, 24, 12] type II linear block code.",Ian McLoughlin;,https://doi.org/10.1007/s10623-011-9530-0
dcc/dcc63,April 2012,Number 1,The binary extremal self-dual codes of lengths 38 and 40.,Hyun Jin Kim;,https://doi.org/10.1007/s10623-011-9534-9
dcc/dcc63,April 2012,Number 1,Pseudorandom vector sequences of maximal period generated by triangular polynomial dynamical systems.,Alina Ostafe;,https://doi.org/10.1007/s10623-011-9535-8
dcc/dcc63,April 2012,Number 1,On quasi-symmetric designs with intersection difference three.,Vassili C. Mavron;T. P. McDonough;Mohan S. Shrikhande;,https://doi.org/10.1007/s10623-011-9536-7
dcc/dcc63,April 2012,Number 1,On explicit factors of cyclotomic polynomials over finite fields.,Li-Ping Wang;Qiang Wang;,https://doi.org/10.1007/s10623-011-9537-6
dcc/dcc63,April 2012,Number 1,"A note on cyclic codes over GR(p 2, m) of length p k.",Han Mao Kiah;Ka Hin Leung;San Ling;,https://doi.org/10.1007/s10623-011-9538-5
dcc/dcc63,April 2012,Number 1,Cyclic codes over R k.,Steven T. Dougherty;Suat Karadeniz;Bahattin Yildiz;,https://doi.org/10.1007/s10623-011-9539-4
dcc/dcc63,April 2012,Number 1,On-line secret sharing.,László Csirmaz;Gábor Tardos;,https://doi.org/10.1007/s10623-011-9540-y
dcc/dcc63,May 2012,Number 2,"The characterisation of the smallest two fold blocking sets in PG(n, 2).",Manohar L. Aggarwal;Andreas Klein;Leo Storme;,https://doi.org/10.1007/s10623-011-9541-x
dcc/dcc63,May 2012,Number 2,A characterisation result on a particular class of non-weighted minihypers.,Jan De Beule;Anja Hallez;Leo Storme;,https://doi.org/10.1007/s10623-011-9542-9
dcc/dcc63,May 2012,Number 2,"Small weight codewords in the dual code of points and hyperplanes in PG(n, q), q even.",Maarten De Boeck;,https://doi.org/10.1007/s10623-011-9543-8
dcc/dcc63,May 2012,Number 2,Classification of self dual quadratic bent functions.,Xiang-Dong Hou;,https://doi.org/10.1007/s10623-011-9544-7
dcc/dcc63,May 2012,Number 2,Round-efficient perfectly secure message transmission scheme against general adversary.,Kaoru Kurosawa;,https://doi.org/10.1007/s10623-011-9546-5
dcc/dcc63,May 2012,Number 2,Construction of cyclotomic codebooks nearly meeting the Welch bound.,Aixian Zhang;Keqin Feng;,https://doi.org/10.1007/s10623-011-9549-2
dcc/dcc63,May 2012,Number 2,Improved distinguishers for HC-128.,Paul Stankovski;Sushmita Ruj;Martin Hell;Thomas Johansson;,https://doi.org/10.1007/s10623-011-9550-9
dcc/dcc63,May 2012,Number 2,A new table of permutation codes.,Derek H. Smith;Roberto Montemanni;,https://doi.org/10.1007/s10623-011-9551-8
dcc/dcc63,May 2012,Number 2,On the optimization of bipartite secret sharing schemes.,Oriol Farràs;Jessica Ruth Metcalf-Burton;Carles Padró;Leonor Vázquez;,https://doi.org/10.1007/s10623-011-9552-7
dcc/dcc63,May 2012,Number 2,Affine equivalence for rotation symmetric Boolean functions with 2 k variables.,Thomas W. Cusick;Younhwan Cheon;,https://doi.org/10.1007/s10623-011-9553-6
dcc/dcc63,June 2012,Number 3,MacWilliams duality and a Gleason-type theorem on self-dual bent functions.,Jong Yoon Hyun;Heisook Lee;Yoonjin Lee;,https://doi.org/10.1007/s10623-011-9554-5
dcc/dcc63,June 2012,Number 3,Semicyclic 4-GDDs and related two-dimensional optical orthogonal codes.,Kun Wang;Jianmin Wang;,https://doi.org/10.1007/s10623-011-9556-3
dcc/dcc63,June 2012,Number 3,Weight enumeration of codes from finite spaces.,Relinde P. M. J. Jurrius;,https://doi.org/10.1007/s10623-011-9557-2
dcc/dcc63,June 2012,Number 3,Implementing the 4-dimensional GLV method on GLS elliptic curves with j-invariant 0.,Zhi Hu;Patrick Longa;Maozhi Xu;,https://doi.org/10.1007/s10623-011-9558-1
dcc/dcc63,June 2012,Number 3,Cyclic block designs with block size 3 from Skolem-type sequences.,Daniela Silvesan;Nabil Shalaby;,https://doi.org/10.1007/s10623-011-9559-0
dcc/dcc63,June 2012,Number 3,Two classes of optimal two-dimensional OOCs.,Yuemei Huang;Yanxun Chang;,https://doi.org/10.1007/s10623-011-9560-7
dcc/dcc63,June 2012,Number 3,Scroll codes over curves of higher genus: reducible and superstable vector bundles.,Edoardo Ballico;,https://doi.org/10.1007/s10623-011-9561-6
dcc/dcc63,June 2012,Number 3,Accusation probabilities in Tardos codes: beyond the Gaussian approximation.,Antonino Simone;Boris Skoric;,https://doi.org/10.1007/s10623-011-9563-4
dcc/dcc63,June 2012,Number 3,Further results on planar DO functions and commutative semifields.,Guobiao Weng;Xiangyong Zeng;,https://doi.org/10.1007/s10623-011-9564-3
dcc/dcc63,June 2012,Number 3,Divisibility of polynomials over finite fields and combinatorial applications.,Daniel Panario;Olga Sosnovski;Brett Stevens;Qiang Wang;,https://doi.org/10.1007/s10623-011-9565-2
