infocom/infocom1995-3,1995,Session 8A:Switching,Burst Scheduling: Architecture and Algorithm for Switching Packet Video.,Simon S. Lam;Geoffrey G. Xie;,None
infocom/infocom1995-3,1995,Session 8A:Switching,Multicast and Self-Routing in ATM Radix Trees and Banyan Networks.,Ka Lun Eddie Law;Alberto Leon-Garcia;,None
infocom/infocom1995-3,1995,Session 8A:Switching,Providing Bandwidth Guarantees in an Input-Buffered Crossbar Switch.,Dimitrios Stiliadis;Anujan Varma;,None
infocom/infocom1995-3,1995,Session 8A:Switching,An All-Optical Wavelength-Division Meshed-Ring Packet-Switching Network.,Izhak Rubin;Hsing-kuo Hua;,None
infocom/infocom1995-3,1995,Session 8B:Correlated Traffic,"Fractal Traffic: Measurements, Modelling and Performance Evaluation.",Ron Addie;Moshe Zukerman;Timothy D. Neame;,None
infocom/infocom1995-3,1995,Session 8B:Correlated Traffic,"Analysis of an ATM Buffer with Self-Similar (""Fractal"") Input Traffic.",Nikolay B. Likhanov;Boris Tsybakov;Nicolas D. Georganas;,None
infocom/infocom1995-3,1995,Session 8B:Correlated Traffic,Modeling Superposition of ON-OFF Correlated Traffic Sources in Multimedia Applications.,Aurelio La Corte;Alfio Lombardo;Giovanni Schembra;,None
infocom/infocom1995-3,1995,Session 8B:Correlated Traffic,Effective Bandwidths of Departure Processes from Queues with Time Varying Capacities.,Cheng-Shang Chang;Tim Zajic;,None
infocom/infocom1995-3,1995,Session 8C:Multimedia,A Synchronization Mechanism for Continuous Media in Multimedia Communications.,Yutaka Ishibashi;Shuji Tasaka;,None
infocom/infocom1995-3,1995,Session 8C:Multimedia,On Bandwidth and Storage Tradeoffs in Multimedia Distribution Networks.,Frank Schaffa;Jean-Paul Nussbaumer;,None
infocom/infocom1995-3,1995,Session 8C:Multimedia,Performance Analysis of Traffic Control Methods in Multimedia ATM LAN.,Naoki Wakamiya;Ken-ichi Baba;Masayuki Murata;Hideo Miyahara;,None
infocom/infocom1995-3,1995,Session 8C:Multimedia,Multiconnection Over Multichannels.,Ming Chen;Nicolas D. Georganas;,None
infocom/infocom1995-3,1995,Session 8D:Wireless 3:Qos and Performance,A Mini-Product-Form-Based Solution to Data-Delay Evaluation in Wireless Integrated Voice/Data Networks.,Jeffrey E. Wieselthier;Anthony Ephremides;,None
infocom/infocom1995-3,1995,Session 8D:Wireless 3:Qos and Performance,An Asymmetric Protocol for Digital Cellular Communications.,Sanjoy Paul;Ender Ayanoglu;Thomas F. La Porta;Kuo-Wei Herman Chen;Krishan K. Sabnani;Richard D. Gitlin;,None
infocom/infocom1995-3,1995,Session 8D:Wireless 3:Qos and Performance,A Reservation-Based Multicast (RBM) Routing Protocol for Mobile Networks: Overview of Initial Route Construction.,M. Scott Corson;Stephen Gordon Batsell;,None
