infocom/infocom2012,2012,None,Exact throughput capacity under power control in mobile ad hoc networks.,Jiajia Liu;Xiaohong Jiang;Hiroki Nishiyama;Nei Kato;,https://doi.org/10.1109/INFCOM.2012.6195580
infocom/infocom2012,2012,None,Design and performance study of a Topology-Hiding Multipath Routing protocol for mobile ad hoc networks.,Yujun Zhang;Guiling Wang;Qi Hu;Zhongcheng Li;Jie Tian;,https://doi.org/10.1109/INFCOM.2012.6195468
infocom/infocom2012,2012,None,Capacity of distributed content delivery in large-scale wireless ad hoc networks.,Wang Liu;Kejie Lu;Jianping Wang;Yi Qian;Tao Zhang;Liusheng Huang;,https://doi.org/10.1109/INFCOM.2012.6195579
infocom/infocom2012,2012,None,On the spatial modeling of wireless networks by random packing models.,Nguyen Tien Viet;François Baccelli;,https://doi.org/10.1109/INFCOM.2012.6195725
infocom/infocom2012,2012,None,Spectrum mobility games.,Richard Southwell;Jianwei Huang;Xin Liu;,https://doi.org/10.1109/INFCOM.2012.6195776
infocom/infocom2012,2012,None,Scaling laws for cognitive radio network with heterogeneous mobile secondary users.,Yingzhe Li;Xinbing Wang;Xiaohua Tian;Xue Liu;,https://doi.org/10.1109/INFCOM.2012.6195787
infocom/infocom2012,2012,None,Localization in 3D surface sensor networks: Challenges and solutions.,Yao Zhao;Hongyi Wu;Miao Jin;Su Xia;,https://doi.org/10.1109/INFCOM.2012.6195798
infocom/infocom2012,2012,None,WILL: Wireless indoor localization without site survey.,Chenshu Wu;Zheng Yang;Yunhao Liu;Wei Xi;,https://doi.org/10.1109/INFCOM.2012.6195809
infocom/infocom2012,2012,None,Priv-Code: Preserving privacy against traffic analysis through network coding for multihop wireless networks.,Zhiguo Wan;Kai Xing;Yunhao Liu;,https://doi.org/10.1109/INFCOM.2012.6195820
infocom/infocom2012,2012,None,UFlood: High-throughput flooding over wireless mesh networks.,Jayashree Subramanian;Robert Morris;Hari Balakrishnan;,https://doi.org/10.1109/INFCOM.2012.6195831
infocom/infocom2012,2012,None,Memory-assisted universal compression of network flows.,Mohsen Sardari;Ahmad Beirami;Faramarz Fekri;,https://doi.org/10.1109/INFCOM.2012.6195842
infocom/infocom2012,2012,None,CodePipe: An opportunistic feeding and routing protocol for reliable multicast with pipelined network coding.,Peng Li;Song Guo;Shui Yu;Athanasios V. Vasilakos;,https://doi.org/10.1109/INFCOM.2012.6195456
infocom/infocom2012,2012,None,E-V: Efficient visual surveillance with electronic footprints.,Jin Teng;Junda Zhu;Boying Zhang;Dong Xuan;Yuan F. Zheng;,https://doi.org/10.1109/INFCOM.2012.6195467
infocom/infocom2012,2012,None,Energy-efficient intrusion detection with a barrier of probabilistic sensors.,Junkun Li;Jiming Chen;Ten H. Lai;,https://doi.org/10.1109/INFCOM.2012.6195479
infocom/infocom2012,2012,None,Submodular game for distributed application allocation in shared sensor networks.,Chengjie Wu;You Xu;Yixin Chen;Chenyang Lu;,https://doi.org/10.1109/INFCOM.2012.6195490
infocom/infocom2012,2012,None,Energy-efficient reporting mechanisms for multi-type real-time monitoring in Machine-to-Machine communications networks.,Huai-Lei Fu;Hou-Chun Chen;Phone Lin;Yuguang Fang;,https://doi.org/10.1109/INFCOM.2012.6195501
